id,name,picture_url
1011400,H.A.M.M.E.R.,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/4ce5a7675d903.jpg
1009332,H.E.R.B.I.E.,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/4ce59fe9811cb.jpg
1011391,Hairball,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009333,Half-Life (Tony Masterson),http://i.annihil.us/u/prod/marvel/i/mg/a/20/4ce59ff485b35.jpg
1009334,Hammerhead,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c003ee47c207.jpg
1014995,Hammerhead (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011490,Hank Pym,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/5205305343bfd.jpg
1011091,Hannibal King,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009348,Happy Hogan,http://i.annihil.us/u/prod/marvel/i/mg/8/50/4ce5a00362b2c.jpg
1010821,Hardball,http://i.annihil.us/u/prod/marvel/i/mg/3/60/535ff2b245409.jpg
1011185,Harley Davidson Cooper,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009336,Harpoon,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011069,Harrier,http://i.annihil.us/u/prod/marvel/i/mg/b/30/4c0030e7aba3e.jpg
1009339,Harry Heck,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009486,Harry Osborn,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/4ce5a0b3181d8.jpg
1011218,Harry Osborn (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010816,Hate-Monger (Adolf Hitler),http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c0035ea3151e.jpg
1009337,Havok,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/5261659ebeaf8.jpg
1009338,Hawkeye,http://i.annihil.us/u/prod/marvel/i/mg/e/90/50fecaf4f101b.jpg
1010808,Hawkeye (Kate Bishop),http://i.annihil.us/u/prod/marvel/i/mg/c/10/537bad9caa831.jpg
1017311,Hawkeye (Marvel Heroes),http://i.annihil.us/u/prod/marvel/i/mg/2/70/5239be7020a11.jpg
1011131,Hawkeye (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/6/03/53176be145914.jpg
1017108,Hawkeye/Clint Barton (MAA),http://i.annihil.us/u/prod/marvel/i/mg/4/03/5232198a81c17.jpg
1012767,Hecate (Ravonna Renslayer),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011046,Hedge Knight,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011482,Hela,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010351,Hellcat (Patsy Walker),http://i.annihil.us/u/prod/marvel/i/mg/c/30/4d751d6b1bc7d.jpg
1009340,Hellfire Club,http://i.annihil.us/u/prod/marvel/i/mg/c/20/4c003eddcc659.jpg
1014996,Hellfire Club (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010678,Hellion,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/4c0038ee5a898.jpg
1011044,Hellions (Squad),http://i.annihil.us/u/prod/marvel/i/mg/5/10/4c00323303deb.jpg
1009341,Hemingway,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011371,Henry Peter Gyrich,http://i.annihil.us/u/prod/marvel/i/mg/f/c0/535fed9b1ae7f.jpg
1009342,Hepzibah,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4c003eda76ac7.jpg
1009343,Hercules,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/52052ebddfa53.jpg
1010759,Heroes For Hire,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c00376a77ce0.jpg
1011274,Hex,http://i.annihil.us/u/prod/marvel/i/mg/e/f0/4c002eeb6ed5e.jpg
1011300,High Evolutionary,http://i.annihil.us/u/prod/marvel/i/mg/3/f0/5269583a77bd3.jpg
1010839,Hindsight Lad,http://i.annihil.us/u/prod/marvel/i/mg/2/30/4c0035d60033c.jpg
1010703,Hiroim,http://i.annihil.us/u/prod/marvel/i/mg/9/60/528d341abd6d9.jpg
1011442,Hit-Monkey,http://i.annihil.us/u/prod/marvel/i/mg/6/30/4ce69c2246c21.jpg
1009345,Hitman,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011383,Hitomi Sakuma,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010930,Hobgoblin (Jason Macendale),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010931,Hobgoblin (Robin Borne),http://i.annihil.us/u/prod/marvel/i/mg/d/40/4c00343625597.png
1009347,Hobgoblin (Roderick Kingsley),http://i.annihil.us/u/prod/marvel/i/mg/c/80/4c003ed3cff99.jpg
1009349,Holocaust (Age of Apocalypse),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009350,Holy,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1017844,Honey Badger (Gabrielle Kinney),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011428,Hope Summers,http://i.annihil.us/u/prod/marvel/i/mg/f/90/511155f5015e0.jpg
