id,laptop_ID,Company,Product,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Total Resolution
0,972,949.0,XPS 13,Ultrabook,13.3,Intel Core i7 6500U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 10,1.3,1268.0,5760000.0
1,1085,949.0,Latitude 3570,Notebook,15.6,Intel Core i3 6100U 2.3GHz,4.0,500GB HDD,Intel HD Graphics 520,Windows 10,2.06,481.98,1049088.0
2,1013,914.0,EliteBook 840,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.48,2089.0,2073600.0
3,891,914.0,EliteBook x360,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.28,1700.0,2073600.0
4,1284,914.0,Pavilion 15-AW003nv,Notebook,15.6,AMD A9-Series 9410 2.9GHz,6.0,1.0TB Hybrid,AMD Radeon R7 M440,Windows 10,2.04,549.99,2073600.0
5,132,914.0,ProBook 470,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,2.5,928.0,2073600.0
7,234,914.0,ZBook 15u,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8.0,1TB HDD,AMD FirePro W4190M,Windows 10,1.9,1269.0,2073600.0
9,165,559.0,Aspire A517-51G,Notebook,17.3,Intel Core i5 8250U 1.6GHz,4.0,256GB SSD,Nvidia GeForce MX150,Windows 10,3.0,805.0,2073600.0
10,849,963.0,Rog GL702VM-GC017T,Gaming,17.3,Intel Core i7 6700HQ 2.6GHz,16.0,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.73,1799.0,2073600.0
11,645,899.0,IdeaPad 100S-14IBR,Notebook,14.0,Intel Celeron Dual Core N3060 1.6GHz,2.0,32GB Flash Storage,Intel HD Graphics 400,Windows 10,1.42,249.0,1049088.0
12,482,949.0,Latitude E5470,Notebook,14.0,Intel Core i3 6100U 2.3GHz,8.0,128GB SSD,Intel HD Graphics 520,Windows 10,1.79,740.0,1049088.0
13,1011,559.0,Aspire ES1-533,Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,4.0,500GB HDD,Intel HD Graphics 505,Windows 10,2.4,380.0,1049088.0
15,843,899.0,ThinkPad T470s,Notebook,14.0,Intel Core i5 7300U 2.6GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.32,1650.0,2073600.0
16,589,914.0,ProBook 430,Notebook,13.3,Intel Core i3 7100U 2.4GHz,4.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.49,719.0,2073600.0
17,1138,949.0,Latitude E5570,Notebook,15.6,Intel Core i5 6200U 2.3GHz,4.0,500GB HDD,Intel HD Graphics 520,Linux,2.09,523.63,1049088.0
18,114,949.0,XPS 13,Ultrabook,13.3,Intel Core i7 7560U 2.4GHz,8.0,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23,1379.0,5760000.0
19,654,559.0,Swift 3,Ultrabook,14.0,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel Graphics 620,Windows 10,1.8,919.0,2073600.0
20,858,914.0,EliteBook x360,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.28,2277.0,2073600.0
23,2,1339.69,Macbook Air,Ultrabook,13.3,Intel Core i5 1.8GHz,8.0,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,898.94,1296000.0
24,1174,1684.0,GP72M 7REX,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1492.8,2073600.0
25,1142,914.0,EliteBook 820,Ultrabook,12.5,Intel Core i5 6300U 2.4GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 7,1.26,1895.0,1049088.0
26,989,914.0,Probook 450,Notebook,15.6,Intel Core i5 7200U 2.70GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.04,979.0,2073600.0
28,994,949.0,Inspiron 7579,2 in 1 Convertible,15.6,Intel Core i7 7500U 2.7GHz,12.0,512GB SSD,Intel HD Graphics 620,Windows 10,2.19,1299.0,2073600.0
30,128,914.0,250 G6,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,4.0,500GB HDD,Intel HD Graphics 400,No OS,1.86,259.0,1049088.0
31,88,914.0,Pavilion 15-CK000nv,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,8.0,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83,699.0,2073600.0
33,884,899.0,Thinkpad 13,Notebook,13.3,Intel Core i3 7100U 2.4GHz,4.0,180GB SSD,Intel HD Graphics 620,Windows 10,1.44,735.0,2073600.0
34,7,1339.69,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.2GHz,16.0,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04,2139.97,5184000.0
35,49,949.0,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4.0,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3,639.0,2073600.0
36,834,1195.0,Satellite Pro,Notebook,14.0,Intel Pentium Dual Core 4405U 2.1GHz,4.0,128GB SSD,Intel HD Graphics 510,Windows 10,1.75,499.0,1049088.0
37,1280,949.0,Inspiron 3567,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.3,459.0,1049088.0
39,374,949.0,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,AMD Radeon R7 M445,Windows 10,2.33,899.0,2073600.0
40,781,1195.0,Tecra A40-C-1E5,Notebook,14.0,Intel Core i5 6200U 2.3GHz,4.0,128GB SSD,Intel HD Graphics 520,Windows 10,1.75,1020.0,1049088.0
42,1241,949.0,Latitude E7270,Ultrabook,12.5,Intel Core i5 6300U 2.4GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 7,1.26,1713.37,2073600.0
43,369,914.0,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8.0,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,639.0,2073600.0
44,579,914.0,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,15.6,AMD A9-Series A9-9420 3GHz,6.0,256GB SSD,AMD Radeon 530,Windows 10,1.95,649.0,2073600.0
45,414,949.0,Latitude 7480,Ultrabook,14.0,Intel Core i7 7600U 2.8GHz,8.0,512GB SSD,Intel HD Graphics,Windows 10,1.36,1680.0,2073600.0
46,1096,899.0,IdeaPad Y900-17ISK,Gaming,17.3,Intel Core i7 6820HK 2.7GHz,32.0,512GB SSD +  1.0TB Hybrid,Nvidia GeForce GTX 980M,Windows 10,4.6,3240.0,2073600.0
47,601,899.0,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,Notebook,17.3,Intel Core i3 6006U 2GHz,4.0,500GB HDD,Intel HD Graphics 520,No OS,2.8,529.0,2073600.0
48,228,914.0,ProBook 450,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8.0,1TB HDD,Intel UHD Graphics 620,Windows 10,2.1,794.0,2073600.0
49,436,265.0,FlexBook Edge,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 1.1GHz,4.0,32GB SSD,Intel HD Graphics 500,Windows 10,1.16,299.0,2073600.0
50,924,914.0,Elitebook Folio,Ultrabook,12.5,Intel Core M 6Y75 1.2GHz,8.0,240GB SSD,Intel HD Graphics 515,Windows 10,1.09,3100.0,8294400.0
51,1097,899.0,Yoga Book,2 in 1 Convertible,10.1,Intel Atom x5-Z8550 1.44GHz,4.0,64GB Flash Storage,Intel HD Graphics 400,Windows 10,0.69,646.27,2304000.0
52,710,899.0,IdeaPad 320-15ABR,Notebook,15.6,AMD A12-Series 9720P 3.6GHz,8.0,1TB HDD,AMD Radeon R7,Windows 10,2.2,429.0,1049088.0
53,691,914.0,17-bs000nv I3,Notebook,17.3,Intel Core i3 6006U 2GHz,4.0,256GB SSD,AMD Radeon R5 520,Windows 10,2.5,699.0,2073600.0
54,498,1195.0,Portege X30-D-10L,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,32.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.05,2799.0,2073600.0
55,430,963.0,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8.0,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,597.0,2073600.0
56,540,265.0,SmartBook Edge,Notebook,13.3,Intel Celeron Quad Core N3450 1.1GHz,4.0,32GB SSD,Intel HD Graphics 500,Windows 10,1.2,369.0,2073600.0
57,544,914.0,250 G6,Notebook,15.6,Intel Pentium Quad Core N3710 1.6GHz,4.0,256GB SSD,Intel HD Graphics 405,Windows 10,1.86,398.99,2073600.0
58,185,949.0,XPS 13,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.23,1399.0,2073600.0
61,372,949.0,Inspiron 5770,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8.0,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8,1085.0,2073600.0
